title,make,model,year,condition,transmission,price
Toyota Tacoma 2007 Black,Toyota,Tacoma,2007.0,Foreign Used,Automatic,24000000
Peugeot 206 2005 Blue,Peugeot,206,2005.0,Local Used,Automatic,3100000
Honda Accord EX-L 2018 White,Honda,Accord ExL,2018.0,Foreign Used,Automatic,25000000
Lexus ES 350 2011 Black,Lexus,Es 350,2011.0,Foreign Used,Automatic,12000000
Toyota Highlander Limited 3.5l 4WD 2013 Off white,Toyota,Highlander Limited,2013.0,Foreign Used,Automatic,19800000
Lexus IS 2014 Black,Lexus,Is,2014.0,Foreign Used,Automatic,23500000
Acura MDX 2019 Brown,Acura,Mdx,2019.0,Foreign Used,Automatic,28000000
BMW X3 2008 Gold,Bmw,X3,2008.0,Local Used,Automatic,6000000
Toyota Camry 2013 Black,Toyota,Camry,2013.0,Foreign Used,Automatic,12800000
Toyota RAV4 2.5 Limited 4x4 2012 Gray,Toyota,Rav4 2,2012.0,Foreign Used,Automatic,15700000
Toyota Highlander Limited 2010 White,Toyota,Highlander Limited,2010.0,Foreign Used,Automatic,17000000
Lexus ES 350 2008 Black,Lexus,Es 350,2008.0,Foreign Used,Automatic,13500000
Toyota Venza V6 AWD 2012 White,Toyota,Venza V6,2012.0,Foreign Used,Automatic,19500000
Lexus IS 250 SE AWD 2007 Gray,Lexus,Is 250,2007.0,Foreign Used,Automatic,15000000
Toyota Tacoma Double Cab V6 Automatic 2009 Black,Toyota,Tacoma Double,2009.0,Foreign Used,Automatic,21500000
Toyota Solara 3.3 Convertible 2006 White,Toyota,Solara 3,2006.0,Foreign Used,Automatic,12500000
Lexus GX 460 Luxury 2014 Gold,Lexus,Gx 460,2014.0,Foreign Used,Automatic,52000000
Ford Explorer Limited 4dr 4x4 (3.5L 6cyl 6A) 2012 White,Ford,Explorer Limited,2012.0,Foreign Used,Automatic,17000000
Kia Rio 2014 Black,Kia,Rio,2014.0,Local Used,Automatic,5800000
Toyota Avensis Verso 2.0 Petrol 2007 Red,Toyota,Avensis Verso,2007.0,Foreign Used,Automatic,13500000
Toyota Sequoia Limited 4dr SUV 4WD (4.7L 8cyl 5A) 2005 Blue,Toyota,Sequoia Limited,2005.0,Foreign Used,Automatic,7800000
Lexus RX 330 2005 Brown,Lexus,Rx 330,2005.0,Local Used,Automatic,8600000
Toyota Camry SE V6 4dr Sedan (3.0L 6cyl 4A) 2002 White,Toyota,Camry Se,2002.0,Foreign Used,Automatic,8000000
Ford Edge 2012 Black,Ford,Edge,2012.0,Local Used,Automatic,6800000
Acura MDX Touring 4dr SUV AWD (3.5L 6cyl 5A) 2006 Black,Acura,Mdx Touring,2006.0,Local Used,Automatic,4000000
Toyota Hilux 2.5 D-4D 4X4 SRX 2010 Silver,Toyota,Hilux 2,2010.0,Foreign Used,Automatic,16200000
Toyota Venza LE 2011 Gold,Toyota,Venza Le,2011.0,Local Used,Automatic,11750000
Toyota Avensis 2007 Silver,Toyota,Avensis,2007.0,Foreign Used,Manual,6500000
Toyota Highlander Limited 2010 Black,Toyota,Highlander Limited,2010.0,Local Used,Automatic,11500000
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6AM) 2010 Gold,Toyota,Camry Xle,2010.0,Local Used,Automatic,7800000
Toyota Camry 2009 Gray,Toyota,Camry,2009.0,Local Used,Automatic,6800000
Honda Accord Sedan EX Automatic 2005 Gray,Honda,Accord Sedan,2005.0,Local Used,Automatic,3000000
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2017 Silver,Toyota,Highlander Xle,2017.0,Foreign Used,Automatic,39000000
Lexus GX 460 Base 2015 Black,Lexus,Gx 460,2015.0,Local Used,Automatic,30500000
Lexus RX 350 AWD 2009 Gold,Lexus,Rx 350,2009.0,Foreign Used,Automatic,13500000
Toyota Venza V6 AWD 2010 Blue,Toyota,Venza V6,2010.0,Foreign Used,Automatic,19500000
Toyota Matrix 2005 Blue,Toyota,Matrix,2005.0,Foreign Used,Automatic,8200000
Ford Explorer Limited 4dr FWD (2.0L 4cyl 6A) 2012 Brown,Ford,Explorer Limited,2012.0,Foreign Used,Automatic,18500000
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2018 Silver,Toyota,Highlander Xle,2018.0,Foreign Used,Automatic,39000000
Volvo XC90 SUV 4dr V8 FWD (4.4L 8cyl 6A) 2009 Black,Volvo,Xc90 Suv,2009.0,Foreign Used,Automatic,13500000
Toyota 4-Runner 4.7 2003 White,Toyota,4Runner 4,2003.0,Foreign Used,Automatic,10500000
Mercedes-Benz M Class ML350 4MATIC 4dr SUV AWD (3.5L 6cyl 7A) 2014,Mercedes Benz,M Class,2014.0,Local Used,Automatic,20500000
Toyota Camry XSE V6 (3.5L V6 8A) 2019 Black,Toyota,Camry Xse,2019.0,Local Used,Automatic,27500000
Toyota 4-Runner 4.7 2003 Silver,Toyota,4Runner 4,2003.0,Local Used,Automatic,2950000
Lexus RX 350 2018 Blue,Lexus,Rx 350,2018.0,Foreign Used,Automatic,40000000
Mercedes-Benz GLK-Class 350 2010 Burgundy,Mercedes Benz,GlkClass 350,2010.0,Foreign Used,Automatic,16500000
Toyota Camry XSE V6 4dr Sedan (3.5L 6cyl 6A) 2016 Red,Toyota,Camry Xse,2016.0,Foreign Used,Automatic,19500000
Toyota Highlander LE 4x4 V6 (3.5L 6cyl 8A) 2018 Gray,Toyota,Highlander Le,2018.0,Foreign Used,Automatic,37000000
Mercedes-Benz GLE-Class GLE 320 4MATIC 2016 Black,Mercedes Benz,GleClass Gle,2016.0,Foreign Used,Automatic,52000000
Toyota Tundra 2016 Silver,Toyota,Tundra,2016.0,Foreign Used,Automatic,48000000
Toyota Tacoma Limited 2017 Silver,Toyota,Tacoma Limited,2017.0,Foreign Used,Automatic,41000000
Toyota Corolla 2004 Gray,Toyota,Corolla,2004.0,Local Used,Automatic,3900000
Toyota RAV4 2016 Black,Toyota,Rav4,2016.0,Foreign Used,Automatic,24500000
Mercedes-Benz GLC-Class 2017 Black,Mercedes Benz,GlcClass,2017.0,Foreign Used,Automatic,32700000
Lexus RX 350 FWD 2014 Black,Lexus,Rx 350,2014.0,Foreign Used,Automatic,29000000
Toyota Sequoia Limited 4dr SUV 4WD (5.7L 8cyl 6A) 2008 White,Toyota,Sequoia Limited,2008.0,Foreign Used,Automatic,29000000
Lexus ES 350 FWD 2016 Brown,Lexus,Es 350,2016.0,Foreign Used,Automatic,30000000
Volkswagen Passat 2007 Silver,Volkswagen,Passat,2007.0,Foreign Used,Automatic,8500000
Mercedes-Benz GLK-Class 350 4MATIC 2010 Black,Mercedes Benz,GlkClass 350,2010.0,Foreign Used,Automatic,16500000
Toyota Camry 2012 Red,Toyota,Camry,2012.0,Foreign Used,Automatic,14800000
Honda Accord EX-L 4dr Sedan (2.4L 4cyl CVT) 2015 Gray,Honda,Accord ExL,2015.0,Foreign Used,Automatic,14750000
Land Rover Range Rover Sport 2017 Gray,Land,Rover Range,2017.0,Local Used,Automatic,47500000
Kia Rio 2020 Red,Kia,Rio,2020.0,Local Used,Automatic,9500000
Toyota Corolla Base 4dr Sedan (1.8L 4cyl 5M) 2010 Red,Toyota,Corolla Base,2010.0,Local Used,Automatic,7020000
Toyota Tacoma Double Cab V6 Automatic 2012 Silver,Toyota,Tacoma Double,2012.0,Foreign Used,Automatic,19500000
Mercedes-Benz C300 Luxury Sedan RWD (3.0L 6cyl 7A) 2008 Off white,Mercedes Benz,C300 Luxury,2008.0,Foreign Used,Automatic,12950000
Toyota Sequoia Platinum 4dr SUV (5.7L 8cyl 6A) 2015 Brown,Toyota,Sequoia Platinum,2015.0,Foreign Used,Automatic,35000000
Toyota Previa Automatic 2002 Silver,Toyota,Previa Automatic,2002.0,Foreign Used,Automatic,12500000
Lexus ES 350 FWD 2014 Matt Black,Lexus,Es 350,2014.0,Foreign Used,Automatic,19990000
Toyota Camry XSE V6 FWD 2020 White,Toyota,Camry Xse,2020.0,Foreign Used,Automatic,29500000
Honda Pilot EX 4x2 (3.5L 6cyl 5A) 2006 White,Honda,Pilot Ex,2006.0,Local Used,Automatic,4700000
Toyota Camry LE FWD 2020 White,Toyota,Camry Le,2020.0,Local Used,Automatic,27000000
