title,make,model,year,condition,transmission,price
Lexus RX 350 2021 Black,Lexus,RX 350,2021,foreign used,automatic,"₦ 94,000,000"
Lexus RX 350 2018 Blue,Lexus,RX 350,2018,foreign used,automatic,"₦ 40,000,000"
Mercedes-Benz GLK-Class 350 2010 Burgundy,Mercedes-Benz,GLK-Class 350,2010,foreign used,automatic,"₦ 16,500,000"
Toyota Camry XSE V6 4dr Sedan (3.5L 6cyl 6A) 2016 Red,Toyota,Camry XSE,2016,foreign used,automatic,"₦ 19,500,000"
Toyota Highlander LE 4x4 V6 (3.5L 6cyl 8A) 2018 Gray,Toyota,Highlander LE,2018,foreign used,automatic,"₦ 37,000,000"
Mercedes-Benz GLE-Class GLE 320 4MATIC 2016 Black,Mercedes-Benz,GLE-Class GLE,2016,foreign used,automatic,"₦ 52,000,000"
Toyota Tundra 2016 Silver,Toyota,Tundra,2016,foreign used,automatic,"₦ 48,000,000"
Toyota Tacoma Limited 2017 Silver,Toyota,Tacoma Limited,2017,foreign used,automatic,"₦ 41,000,000"
Toyota Corolla 2004 Gray,Toyota,Corolla,2004,local used,automatic,"₦ 3,900,000"
Toyota RAV4 2016 Black,Toyota,RAV4,2016,foreign used,automatic,"₦ 24,500,000"
Mercedes-Benz GLC-Class 2017 Black,Mercedes-Benz,GLC-Class,2017,foreign used,automatic,"₦ 32,700,000"
Lexus RX 350 FWD 2014 Black,Lexus,RX 350,2014,foreign used,automatic,"₦ 29,000,000"
Toyota Sequoia Limited 4dr SUV 4WD (5.7L 8cyl 6A) 2008 White,Toyota,Sequoia Limited,2008,foreign used,automatic,"₦ 29,000,000"
